Pond,Veg Survey Date,Total # Veg Species,# Native Species,# Non-native species,# Unknown Species,% Native Species,% Non-native species
Hospital,7/14/23,40,21,17,2,0.525,0.425
Lot60,7/24/23,76,58,18,0,0.763157895,0.236842105
Garner,7/18/23,46,30,16,0,0.652173913,0.347826087
DobA7,,37,19,18,0,0.513513514,0.486486486
Owen,7/18/23,51,39,12,0,0.764705882,0.235294118
HPChurch,7/18/23,67,43,24,0,0.641791045,0.358208955
DobA8,7/19/23,45,26,19,0,0.577777778,0.422222222
Midtown,7/19/23,59,47,12,0,0.796610169,0.203389831
Elver,7/19/23,60,41,19,0,0.683333333,0.316666667
TwoFountains,7/14/23,29,11,18,0,0.379310345,0.620689655
Greentree,7/19/23,66,35,31,0,0.53030303,0.46969697
MarionDunn,,19,11,8,0,0.578947368,0.421052632
Manitou,,92,67,25,0,0.72826087,0.27173913
MadCity,,52,35,17,0,0.673076923,0.326923077
Baxter,,22,18,4,0,0.818181818,0.181818182
DobA22,7/21/23,9,4,5,0,0.444444444,0.555555556
DobA5,7/21/23,33,16,17,0,0.484848485,0.515151515
DobA4,7/21/23,71,51,20,0,0.718309859,0.281690141
DoorCreek,7/21/23,56,36,20,0,0.642857143,0.357142857
CommAve,,49,26,23,0,0.530612245,0.469387755