,Pond.Names,Median.Water.Level,Constant.Water.Level,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Water.Level.25.75.Quantile,Water.Level.10.90.Quantile,Pond.Skewness,Pond.Variance
1,Hospital,1.482899016,30.89162191,44.60969693,29.17341977,44.15101535,0.932074516,2.453976229,1.323205998,0.716537105
2,Lot60,1.726735278,31.40042698,49.24216252,6.231009771,39.10990637,0.70065919,1.13454119,-0.830210427,0.241184926
3,Garner,1.750849204,17.90929645,38.99543379,20.83965066,7.631333954,0.636254688,1.137746476,1.207660727,0.24853055
4,DobA7,0.889764845,31.60552999,51.87801944,46.934255,58.81723921,0.429833334,0.747935157,2.157653259,0.139740912
5,Owen,2.21849229,9.960636204,19.30155859,21.33446815,94.21866411,1.329265907,2.576597835,-0.503042266,0.822463528
6,HPChurch,1.3428498,30.59823769,59.35224294,55.86039907,23.08294495,0.380047803,1.059553645,2.551262319,0.292787662
7,DobA8,2.029322395,23.54619481,52.09775029,50.56043382,57.27323474,0.546926088,0.96118887,-0.144172538,0.174222161
8,Midtown,2.114621433,20.52052744,43.55271492,45.2697645,60.95583578,0.882419814,1.501428264,-0.583480159,0.316790804
9,Elver,1.609172997,31.76281824,69.56332884,67.02982058,69.61385717,0.310567539,0.745991072,0.721141895,0.13827564
10,TwoFountains,1.528479217,27.7513393,54.10083485,25.15432518,62.76072118,0.752153504,1.00644517,-0.50009008,0.155898261
11,Greentree,1.446813284,35.47230607,73.70825108,47.58115202,42.80453584,0.251140993,0.603752646,1.939112772,0.081470191
12,MarionDunn,1.59847621,20.87460931,30.48948456,28.43054158,39.97722096,1.380070385,2.432163759,0.811593077,0.948461574
13,Manitou,1.15226171,28.69562191,47.36104705,29.5118916,0,0.439659403,0.757719821,2.332400492,0.165809906
14,MadCity,2.05669363,17.4695874,38.25030044,6.70236765,35.7034429,0.840119463,1.344391343,-0.214342251,0.31774927
15,Baxter,0.524857954,20.14588107,53.12256952,30.3281273,96.73239022,0.388469311,0.698282102,0.503708866,0.072967926
16,DobA22,0.503829362,37.54881569,46.83759233,0.389464301,99.48637406,1.592421215,2.732948465,1.468565571,1.478353814
17,DobA5,1.680765125,40.90380918,79.15196586,14.75714618,5.631377686,0.219669961,0.514467098,1.290461626,0.092949308
18,DobA4,1.560893227,20.97754994,53.62736433,25.38271168,2.547286548,0.444997191,0.995974493,0.455831295,0.26083779
19,DoorCreek,1.462662897,29.51743117,74.48695484,0,55.83565355,0.309501539,0.520326036,1.050986355,0.053315065
20,CommAve,1.495688725,18.03468515,49.39186084,48.08807411,45.83318601,0.518720154,1.092065198,0.680338784,0.212469242