Pond Name,Total Area (sq ft),% Commercial,% Residential,% Recreation,% Open Water,"% Transportation, Communications, Utilities",% Open Land,% Institutional/Governmental,% Industrial,% Agriculture,% Woodlands,% Other (Vacant/Construction),,% Commercial,% Residential,% Greenspace
Hospital,5858322.369,0.130284179,0.013748371,0.019908432,0.015479731,0.093686498,0.009389788,0.64187715,0.07562585,0,0,0,,0.941473678,0.013748371,0.044777952
Lot60,1402934.574,0,0,0.293503572,0,0.478534475,0,0.227961953,0,0,0,0,,0.706496428,0,0.293503572
Garner,4699329.554,0.358514739,0.025269228,0.295942759,0.015915903,0.303105423,0,0,0,0,0,0.001251947,,0.662872109,0.025269228,0.311858663
DobA7,46778291.31,0.558533742,0.103857724,0.009441471,0.011653663,0.211930219,0.032666191,0.065807537,0,5.86618E-05,0,0.006050791,,0.842322289,0.103857724,0.053819987
Owen,9355776.201,0,0.570716691,0.182640075,0.008601185,0.161551745,0,0.072045339,0,0,0,0.004444964,,0.238042049,0.570716691,0.19124126
HPChurch,58228826.73,0.076603522,0.520321166,0.112329476,0.006841218,0.189219182,0.025132345,0.063122115,0.001925006,0.00112566,0,0.003380311,,0.334250136,0.520321166,0.145428698
DobA8,12329890.28,0,0.472137069,0.02250031,0.00948867,0.193259913,0.129024531,0,0,0.173589506,0,0,,0.193259913,0.472137069,0.334603017
Midtown,6457203.642,0,0.451831087,0.123919393,0.018634823,0.226643061,0.060287677,0.02141595,0,0.022032603,0,0.075235406,,0.323294417,0.451831087,0.224874496
Elver,12664505.49,0.004530425,0.253059169,0.560686614,0.018830579,0.117443762,0.037794391,0.007655042,0,0,0,0,,0.129629228,0.253059169,0.617311583
TwoFountains,1203934.68,0.019975654,0.801048372,0,0.084502023,6.03795E-05,0,0.094413607,0,0,0,0,,0.114449641,0.801048372,0.084502023
Greentree,44652977.5,0.187873672,0.458416149,0.071230467,0.007937088,0.204355218,0.016331985,0.031778856,0.01344131,0,0,0.008635459,,0.446084515,0.458416149,0.09549954
MarionDunn,20203844.92,0.004522929,0.598991254,0.086720341,0.004979868,0.296890402,0.000529935,0.004075472,0,0,0,0.003289798,,0.308778602,0.598991254,0.092230144
Manitou,38827791.01,0.000336365,0.571125127,0.119921505,0.005054454,0.263309664,0,0.039695714,0,0,0,0.000557171,,0.303898915,0.571125127,0.124975959
MadCity,11818534.65,0.321334537,0.315311566,0.096149762,0.008376761,0.23321489,0,0.010953031,0,0,0,0.014659452,,0.580161911,0.315311566,0.104526523
Baxter,4045886.741,0,0.745899671,0.088138839,0.006956055,0.159005435,0,0,0,0,0,0,,0.159005435,0.745899671,0.095094894
DobA22,6991316.324,0.000680436,0.532865235,0.021688148,0.004214513,0.226771927,0.104985497,0,0,0,0.019635818,0.089158427,,0.316610789,0.532865235,0.150523976
DobA5,8874623.246,0.003320006,0.47811746,0.094812576,0.009064967,0.142694036,0.017789878,0.009058514,0,0.147986051,0.096868206,0.000288306,,0.155360862,0.47811746,0.366521678
DobA4,958810.7254,0,0.373638072,0,0,0.093867693,0.532494236,0,0,0,0,0,,0.093867693,0.373638072,0.532494236
DoorCreek,75300012.92,0.058326755,0.168687728,0.024608102,0.008582991,0.295024014,0.066664936,0.03632594,0,0.26198736,5.0295E-05,0.079741879,,0.469418588,0.168687728,0.361893685
CommAve,12084635.31,0,0.617752127,0.025388062,0,0.325860325,8.06258E-05,0.029966678,0,0,0,0.000952183,,0.356779186,0.617752127,0.025468688