Wildlife/Usage Assessment,,,,,,,,,Time and Date,,Vegetation Assessment,
Pond Name,# People Recreating,# Pieces of Trash,# Pieces of Donwstream Trash,Aquaitic Plants?,# of Each Species,Species Observed,Odor (-5 to 5),Additional Notes,Time,Date,Vegetation,
Lot 60,0,4,,Y,Unknown,Frogs,0,None,8:45 AM,6/6/23,"(frequent) cattail, milkweed, (infrequent) spiderwort, butterfly weed",
Lot 60,2,20,,Y,Unknown,Frogs,-2,None,7:39 AM,6/26/23,,
Lot 60,0 (5 on path),0,,Y (Duckweed),None Observed,None Observed,0,None,7:20 AM,7/29/23,,
Lot 60,4,0,,Y (Duckweed),None Observed,None Observed,0,None,6:55 AM,8/4/23,,
Lot 60,0,0,,Y (Duckweed),Unknown,Frogs,,Sprayed for herbicided 8/8/23 (Garlon 3A),8:53 AM,8/9/23,,
Lot 60,0,0,,Y ,None Observed,None Observed,-1,None,7:28 AM,8/15/23,,
Lot 60,0 (construction),0,,Y,Unknown,Mosquitos,0,None,7:04 AM,8/22/23,,
Lot 60,0,0,,Y,None Observed,None Observed,0,None,7:05 AM,9/20/23,,
Lot 60,0,0,,Y,None Observed,None Observed,1,None,7:26 AM,9/27/23,,
Lot 60,0,0,,Y,None Observed,None Observed,-2,None,7:20 AM,10/5/23,,
Lot 60,0,0,,Y,Unknown,Frogs,-1,None,4:03 PM,5/15/24,,
Lot 60,0,0,0,"Y (Cattail, Duckweed)",Unknown,Frogs,2,None,9:01 AM,7/16/24,,
Lot 60,4 (on path),0,5,"Y (Cattail, Duckweed)",None Observed,None Observed,-3,None,8:35 AM,7/24/24,,
Lot 60,0,1,5,"Y (Duckweed, Cattail, submerged)",None Observed,None Observed,-1,None,8:27 AM,7/30/24,,
Hospital Pond,0,10,,Y (Duckweed),Unknown,Insects,2,"Area appears managed, significant underwater veg. at inlet",9:17 AM,6/6/23,"(frequent) spiderwort, willow, (infrequent) cattail",
Hospital Pond,0,5,,Y,None Observed,None Observed,0,None,8:22 AM,6/26/23,,
Hospital Pond,1,5,,Y (Lilypads),None Observed,None Observed,-1,None,7:50 AM,7/29/23,,
Hospital Pond,0,5,,Y (Lilypads),None Observed,None Observed,1,None,7:13 AM,8/4/23,,
Hospital Pond,0,1,,Y (Lilypads),None Observed,None Observed,,None,9:23 AM,8/9/23,,
Hospital Pond,1 worker,0,,Y,None Observed,None Observed,0,None,7:55 AM,8/15/23,,
Hospital Pond,0,5,,Y,None Observed,None Observed,1,None,7:41 AM,8/22/23,,
Hospital Pond,0,2,,Y,None Observed,None Observed,1,"Lilypads, hair-like algae",7:45 AM,9/20/23,,
Hospital Pond,0,5,,Y,None Observed,None Observed,1,None,7:46 AM,9/27/23,,
Hospital Pond,0,1,,Y,None Observed,None Observed,1,None,7:47 AM,10/5/23,,
Hospital Pond,2 (fishing),,,,,,,None,7:11 PM,5/15/24,,
Hospital Pond,0,1,0,Y,1,Large fish,1,None,8:18 AM,7/16/24,,
Hospital Pond,0,0,0,Y (Lilypads),1,Fish,1,None,8:52 AM,7/24/24,,
Hospital Pond,0,1,0,Y,None Observed,None Observed,0,None,9:04 AM,7/30/24,,
Garner Park,0,20,,Y,10,Insects,3,"Buried swivel chair on shore, potential island habitat in pond",10:02 AM,6/6/23,"Wooded, lots of phlox, 1-2 yr old buckthorn",
Garner Park,0,10,,Y,None Observed,None Observed,1,None,9:25 AM,6/26/23,,
Garner Park,0,30,,Y,Unknown,"Earthworms, frogs",-2,None,8:35 AM,7/29/23,,
Garner Park,0,20,,Y,1,Squirrel,0,None,7:46 AM,8/4/23,,
Garner Park,0,9,,Y,None Observed,None Observed,,None,9:58 AM,8/9/23,,
Garner Park,0,20,,Y,None Observed,None Observed,-1,None,8:23 AM,8/15/23,,
Garner Park,0,5,,Y,None Observed,None Observed,0,None,8:10 AM,8/22/23,,
Garner Park,0 (tent set up),3,,Y (Hair-like algae),None Observed,None Observed,0,None,8:17 AM,9/20/23,,
Garner Park,0 (tent set up),10,,Y,None Observed,None Observed,0,None,8:19 AM,9/27/23,,
Garner Park,0 (tent set up),5,,Y,2,Dead fish,-1,None,8:23 AM,10/5/23,,
Garner Park,0,3,,Y,None Observed,None Observed,-1,None,12:07 PM,5/15/24,Chair set up,
Garner Park,0,5,50,Y,"1, Unknown, Unknown","Dead fish, dragonflies, mosquitos",-1,Swarm of mosquitos,9:24 AM,7/16/24,,
Garner Park,0,5,30,Y,None Observed,None Observed,0,None,9:30 AM,7/24/24,,
Garner Park,0,10,30,Y,Unknown,Dragonflies,-2,None,9:37 AM,7/30/24,,
Dobson A7,1,20,,N,1,Bullfrog,0,"Nearby soccer field and school, kids could use area for rec.",10:37 AM,6/6/23,Invasive vegetation only (various standard species),
Dobson A7,0,30,,N,None Observed,None Observed,0,None,9:56 AM,6/26/23,,
Dobson A7,1,50,,N,None Observed,None Observed,-1,None,9:02 AM,7/29/23,,
Dobson A7,0,20,,N,None Observed,None Observed,0,None,8:16 AM,8/4/23,,
Dobson A7,1,20,,N,None Observed,None Observed,,None,10:20 AM,8/9/23,,
Dobson A7,~20 at soccer practice,5,,N,None Observed,None Observed,0,None,8:48 AM,8/15/23,,
Dobson A7,0,10,,N,None Observed,None Observed,-1,None,8:56 AM,8/22/23,,
Dobson A7,0,2,,N,None Observed,None Observed,0,None,8:40 AM,9/20/23,,
Dobson A7,0,20,,N,None Observed,None Observed,0,None,8:53 AM,9/27/23,,
Dobson A7,0,10,,N,None Observed,None Observed,-1,None,8:45 AM,10/5/23,,
Dobson A7,1,5,,N,None Observed,None Observed,0,Other dock is back,12:34 PM,5/15/24,,
Dobson A7,0,30,20,N,1,Gopher,0,None,9:55 AM,7/16/24,,
Dobson A7,0,30,20,N,1,Muscrat,-1,None,9:54 AM,7/24/24,,
Dobson A7,0,30,50,N,None Observed,None Observed,-1,None,10:03 AM,7/30/24,,
Owen Park,5,10,,Y (Lilypads),"10,5","D-Flies, Water Bugs",0,"Water level is inredibly low, some sort of oil seen near inlet",11:20 AM,6/6/23,"(frequent) unknown sedges, bullrush, water lilies, (infrequent) cattails",
Owen Park,0,10,,Y,60,Koi,1,None,10:20 AM,6/26/23,,
Owen Park,1,2,,Y (Lilypads),"1, unknown","Deer, dragonflies",-1,None,9:30 AM,7/29/23,,
Owen Park,1 + 3 people spraying,0,,Y (Lilypads),None Observed,None Observed,-1,Spraying for crown veg(?) invasive species,8:45 AM,8/4/23,,
Owen Park,0,0,,Y (Lilypads),None Observed,None Observed,,None,10:50 AM,8/9/23,,
Owen Park,2,0,,Y,None Observed,None Observed,1,None,9:18 AM,8/15/23,,
Owen Park,5,0,,Y,None Observed,None Observed,-1,None,9:25 AM,8/22/23,,
Owen Park,0,0,,Y (Lilypads),None Observed,None Observed,0,None,9:06 AM,9/20/23,,
Owen Park,1,0,,Y (Lilypads),None Observed,None Observed,0,None,9:22 AM,9/27/23,,
Owen Park,2,0,,Y,None Observed,None Observed,0,None,9:12 AM,10/5/23,,
Owen Park,0,2,,Y (Lilypads),None Observed,None Observed,1,None,1:07 PM,5/15/24,,
Owen Park,0,0,0,Y (Lilypads),1,Turtle,1,None,10:18 AM,7/16/24,,
Owen Park,0,0,0,Y (Lilypads),None Observed,None Observed,0,None,10:19 AM,7/24/24,,
Owen Park,1,5,0,Y (Lilypads),Unknown,"Tiny fish, dragonflies",-1,None,10:20 AM,7/30/24,,
High Point Church,0,10,,Y,20,Frogs,-2,None,11:56 AM,6/6/23,Same/similar vegetation as previous,
High Point Church,2,5,,Y,None Observed,None Observed,0,None,11:00 AM,6/26/23,,
High Point Church,2,0,,Y,2,Muscrats,2,None,10:06 AM,7/29/23,,
High Point Church,2,0,,Y,None Observed,None Observed,2,None,9:18 AM,8/4/23,,
High Point Church,1,0,,Y,Unknown,"Turtle, frogs",,None,11:15 AM,8/9/23,,
High Point Church,1,0,,Y,Unknown,Frogs,2,None,9:40 AM,8/15/23,,
High Point Church,4 (+2 mowers),0,,Y,Unknown,Frogs,2,None,10:06 AM,8/22/23,,
High Point Church,3,0,,Y (Duckweed),Unknown,Bees,2,None,9:23 AM,9/20/23,,
High Point Church,3,1,,Y,Unknown,Frogs,2,None,9:53 AM,9/27/23,,
High Point Church,2,2,,Y,Unknown,Frogs,2,None,9:40 AM,10/5/23,,
Dobson A8,2,20,,Y,"20,2,5","Frogs, Bass, Panfish",-2,None,12:52 PM,6/6/23,Same/similar vegetation as previous,
Dobson A8,4,20,,Y,"20,Unknown","Frogs, Fish",1,None,11:33 AM,6/26/23,,
Dobson A8,8,5,,Y,None Observed,None Observed,1,None,10:37 AM,7/29/23,,
Dobson A8,2,5,,Y,Unknown,"Frogs, D-Flies",-2,None,9:54 AM,8/4/23,,
Dobson A8,0,10,,Y,Unknown,Frogs,,None,11:48 AM,8/9/23,,
Dobson A8,1 mowing,10,,Y,Unknown,Frogs,0,None,10:17 AM,8/15/23,,
Dobson A8,2,10,,Y,Unknown,Frogs,-1,None,10:35 AM,8/22/23,,
Dobson A8,1,5,,Y,1,Mouse,-1,None,9:57 AM,9/20/23,,
Dobson A8,5,5,,Y,None Observed,None Observed,0,,10:23 AM,9/27/23,Talked to neighbor,
Dobson A8,1,10,,Y,Unknown,Frogs?,0,None,10:07 AM,10/5/23,,
Dobson A8,0,5,10,Y,Unknown,"Frogs, mosquito swarm",-1,None,10:47 AM,7/16/24,,
Dobson A8,2 and 2 dogs,5,10,Y (Floating Leaves),Unknown,"Fish, mosquitos",-1,None,10:43 AM,7/24/24,,
Dobson A8,0,5,10,Y (Floating Leaves),Unknown,"Frogs (a lot), mosquitos, fish, dragonflies",0,None,10:58 AM,7/30/24,,
Midtown Park,1,30,,Y,23010,"Frogs, D-Flies",-4,"Muskrat tracks, water is very low, deer tracks, oil near inlet",1:22 PM,6/6/23,Same/similar vegetation as previous,
Midtown Park,2,40,,Y,40,Frogs,-1,None,11:48 AM,6/26/23,,
Midtown Park,6,0,,Y,None Observed,None Observed,0,None,10:59 AM,7/29/23,,
Midtown Park,3,5,,Y,Unknown,"Frogs, D-Flies",0,None,10:14 AM,8/4/23,,
Midtown Park,5,0,,Y,Unknown,Frogs,,None,12:12 PM,8/9/23,,
Midtown Park,0,3,,Y,Unknown,Frogs,-2,None,10:32 AM,8/15/23,,
Midtown Park,4,5,,Y,Unknown,Frogs,-1,None,10:58 AM,8/22/23,,
Midtown Park,4,5,,Y,Unknown,Frogs,0,None,10:18 AM,9/20/23,,
Midtown Park,2,0,,Y,None Observed,None Observed,0,None,10:46 AM,9/27/23,1 researcher/park person,
Midtown Park,5,0,,Y,Unknown,Frogs,-1,None,10:31 AM,10/5/23,,
Midtown Park,3,10,,Y,Unknown,Frogs,-1,None,1:44 PM,5/15/24,,
Midtown Park,2,5,10,Y,Unknown,"Frogs, mosquitos",-1,None,11:09 AM,7/16/24,,
Midtown Park,1,5,10,Y (Floating Leaves),Unknown,Frogs,0,None,11:07 AM,7/24/24,,
Midtown Park,1,20,10,Y,Unknown,"Frogs, mosquitos",-1,None,11:12 AM,7/30/24,,
Elver Park,2,30,,Y,"30,10,5","Frogs, D-Flies, Snails",0,Some sort of oil present in water at outlet,2:03 PM,6/6/23,"(frequent) arrowhead, bullrushes, RCG",
Elver Park,10,30,,Y,"20,1,10","Snails, Clam, Frogs",0,None,12:16 PM,6/26/23,,
Elver Park,3,2,,Y,Unknown,"Goldfish, snails",-1,None,11:27 AM,7/29/23,,
Elver Park,1,20,,Y,Unknown,"Frogs, snails  ",1,Smells like chlorine from splash pad,10:37 AM,8/4/23,,
Elver Park,4,5,,Y,Unknown,"Frogs, snails",,None,12:40 PM,8/9/23,,
Elver Park,2,10,,Y,Unknown,"Frogs, snails",-2,None,10:55 AM,8/15/23,,
Elver Park,0,5,,Y,Unknown,"Frogs, snails",0,None,11:37 AM,8/22/23,,
Elver Park,1,20,,Y,Unknown,"Frogs, fish?",0,Plants starting to yellow,10:44 AM,9/20/23,,
Elver Park,1,5,,Y,Unknown,Frogs,0,None,11:11 AM,9/27/23,,
Elver Park,2,2,,Y,Unknown,Frogs,-1,None,11:01 AM,10/5/23,,
Elver Park,3,10,,Y,Unknown,"Frogs, D-Flies, Snails",0,None,3:00 PM,5/15/24,,
Elver Park,3,10,5,Y,Unknown,"Dragonflies, bunny, snail, frog",0,None,11:32 AM,7/16/24,,
Elver Park,1,30,10,Y (Floating Leaves),A lot,Frogs,0,None,11:20 AM,7/24/24,,
Elver Park,3,5,3,Y,Unknown,"Frogs, snails",0,None,11:42 AM,7/30/24,,
Two Fountains,1,50,,Y,"20,20","Frogs, D-Flies",-1,"Local says 3 snapping turtles in pond, pond built on landfill",2:34 PM,6/6/23,"Limited biodiversity, mostly invasive vegetation",
Two Fountains,0,10,,Y,60,Frogs,0,Herbicide was applied to this pond on 6/7/23,12:45 PM,6/26/23,,
Two Fountains,1,50,,Y,Unknown,"Dragonflies, tiny fish",0,None,11:49 AM,7/29/23,,
Two Fountains,0,30,,Y,Unknown,"Frogs, D-Flies",0,None,10:59 AM,8/4/23,,
Two Fountains,0,20,,Y,Unknown,"Turtle, frogs",,None,1:02 PM,8/9/23,,
Two Fountains,1,40,,Y,"5 small turtles, 1 snapping turtle","Small turtles, snapping turtle",0,None,11:13 AM,8/15/23,,
Two Fountains,2 (kid),20,,Y,"1 snapping, unknown","Snapping turtle, frogs",0,"Found out kids feed snapping turtle crab apples, another larger snapping turtle with blue neck",12:07 PM,8/22/23,,
Two Fountains,2,30,,Y,None Observed,None Observed,0,People picking up trash,11:04 AM,9/20/23,,
Two Fountains,0,40,,Y,Unknown,Frogs,0,None,11:37 AM,9/27/23,,
Two Fountains,0,40,,Y,Unknown,"Frogs, turtles",0,None,11:31 AM,10/5/23,,
Greentree Park,1,40,,Y,"30,5,20,1,5","Frogs, Snails, D-Flies, Koi, Fish",0,"Possible muskrat dens found, large engineering structures",3:19 PM,6/6/23,"(frequent) RCG, willow, teasel, (infrequent) phlox, milkweed, burdock",
Greentree Park,2,10,,Y,"60,100,Unkown","Koi, Snails, Frogs",0,None,1:05 PM,6/26/23,,
Greentree Park,3,40,,Y,Unknown,"Dragonflies, fish",-3,None,12:11 PM,7/29/23,,
Greentree Park,3,10,,Y,Unknown,Frogs,-1,None,11:27 AM,8/4/23,,
Greentree Park,1,10,,Y,Unknown,Frogs,,None,1:25 PM,8/9/23,,
Greentree Park,2,20,,Y,"1 muscrat, unknown","Muscrat, frogs, snails",-1,None,11:35 AM,8/15/23,,
Greentree Park,1,5,,Y,Unknown,Frogs,-1,None,12:31 PM,8/22/23,,
Greentree Park,5,20,,Y,"Unknown, 1","Frogs, turtle",0,None,11:24 AM,9/20/23,,
Greentree Park,1,5,,Y,Unknown,"Frogs, snails",1,None,12:02 PM,9/27/23,,
Greentree Park,1,5,,Y,Unknown,Frogs,-1,None,11:51 AM,10/5/23,,
Greentree Park,1,10,,Y,None Observed,None Observed,-1,None,6:47 PM,5/18/24,,
Greentree Park,0,10,5,Y,Unknown,"Frogs, D-Flies",2,None,11:59 AM,7/16/24,,
Greentree Park,"5 kids, 1 runner",5,0,Y (Floating Leaves),Unknown,"Fish, frogs, mouse?",0,None,11:45 AM,7/24/24,,
Greentree Park,5,5,3,Y,Unknown,Frogs,0,None,12:10 PM,7/30/24,,
Marion-Dunn,2,4,,N,"30, unknown","Frogs, larval insects",-3,central island could provide terrestrial habitat,8:34 AM,6/7/23,"(frequent) cattails, (infrequent) bullrush, phlox, milkweed",
Marion-Dunn,1,5,,Y,None Observed,None Observed,-3,Deer tracks ,1:53 PM,6/26/23,,
Marion-Dunn,2,5,,Y,Unknown,Dragonflies  ,-2,None,12:50 PM,7/29/23,,
Marion-Dunn,0,5,,Y,1,Turtle,-2,None,1:03 PM,8/4/23,,
Marion-Dunn,0,5,,Y,Unknown,Dragonflies,-4,None,12:57 PM,8/10/23,,
Marion-Dunn,0,5,,Y,Unknown,"Turtles, dragonflies",-1,None,12:23 PM,8/15/23,,
Marion-Dunn,1,5,,Y,None Observed,None Observed,-2,None,1:20 PM,8/22/23,,
Marion-Dunn,1,3,,Y (Duckweed),1,Snake,-2,None,12:42 PM,9/20/23,,
Marion-Dunn,0,5,,Y,None Observed,None Observed,-1,None,12:51 PM,9/27/23,,
Marion-Dunn,0,5,,Y,None Observed,None Observed,-3,None,1:22 PM,10/5/23,,
Marion-Dunn,4,10,5,N,None Observed,None Observed,-2,None,11:36 AM,5/10/24,,
Marion-Dunn,0,0,20,Y,Unknown,Frogs,-2,None,12:53 PM,7/16/24,,
Marion-Dunn,0,10,0,Y (Cattail),1,Turtle or muscrat,-3,None,1:02 PM,7/19/24,,
Marion-Dunn,0,10,20,Y,"Unknown, 1","Frogs, muscrat",-3,None,12:27 PM,7/24/24,,
Marion-Dunn,0,5,5,Y,Unknown,Fish,-4,None,1:00 PM,7/30/24,,
Manitou Pond,0,4,,Y,"1,60,20 ","Moths, Fish, D-Flies",3,"turtle x-ing observed near pond, schools of minnows seen",9:19 AM,6/7/23,"(frequent) bullrush, arrowhead, picikerelweed, WWW, , spiderwort, cup plant",
Manitou Pond,0,4,,Y,Unknown,"Bluegill, Carp",0,"Lots of dead fish found at inlet, research area",2:24 PM,6/26/23,,
Manitou Pond,2,5,,N,None Observed,None Observed,0,None,1:14 PM,7/29/23,,
Manitou Pond,0,10,,N,None Observed,None Observed,-3,None,1:25 PM,8/4/23,,
Manitou Pond,0 (1 mower),10,,Y,Unknown,"Fish, dragonflies",0,None,1:26 PM,8/10/23,,
Manitou Pond,0,10,,N,Unknown,"Turtles, dragonflies, fish",-2,None,12:48 PM,8/15/23,,
Manitou Pond,2 seed collection researchers,10,,Y,Unknown,Dragonflies,-2,None,1:46 PM,8/22/23,,
Manitou Pond,0,5,,N,Unknown,Fish,-1,None,1:06 PM,9/20/23,,
Manitou Pond,0,5,,N,None Observed,None Observed,0,None,1:11 PM,9/27/23,,
Manitou Pond,0,5,,N,Unknown,Something swimming,-1,None,1:45 PM,10/5/23,,
Manitou Pond,0,10,,N,1,"Big jumping fish, maybe snapping turtle?",0,None,12:42 PM,5/10/24,,
Manitou Pond,1,5,10,Y (Duckweed),Unknown,Fish,-2,None,1:08 PM,7/16/24,,
Manitou Pond,0,5,,N,Unknown,Fish,-2,None,1:55 PM,7/19/24,,
Manitou Pond,0,10,5,N,Unknown,Fish,-1,None,12:43 PM,7/24/24,,
Manitou Pond,0,10,5,N,Unknown,Fish,-2,None,1:20 PM,7/30/24,,
Mad City,4,20,,Y,"1,1,10,10","Chipmunk, turtle, frog, D-Flies",-2,"Deer tracks observed, recent burn to control invasives",10:11 AM,6/7/23,"(frequent) irises, bullrush, cattails, RCG",
Mad City,2,4,,Y,Unknown,Frogs,0,Unknown animal droppings (geese?),3:00 PM,6/26/23,,
Mad City,1,40,,Y (Duckweed),None Observed,None Observed,-1,None,1:58 PM,7/29/23,,
Mad City,1,40,,Y (Duckweed),3,Deer  ,-1,None,1:57 PM,8/4/23,,
Mad City,0,20,,Y (Duckweed),Unknown,"Frogs, dragonflies",-1,None,2:05 PM,8/10/23,,
Mad City,0,40,,Y,Unknown,Frogs,-1,None,1:15 PM,8/15/23,,
Mad City,0,30,,Y,Unknown,Frogs,-1,None,2:27 PM,8/22/23,,
Mad City,0,5,,Y,1,Turtle,0,None,1:38 PM,9/20/23,,
Mad City,0,20,,Y (Duckweed),2,Deer,-2,None,2:00 PM,9/27/23,,
Mad City,2,20,,Y (Duckweed),None Observed,None Observed,1,None,2:36 PM,10/5/23,,
Mad City,0,30,40,Y (Cattail),Unknown,Frogs,-5,None,2:02 PM,7/16/24,,
Mad City,1,20,30,Y (Cattail),Unknown,Frogs,-2,None,1:08 PM,7/24/24,,
Mad City,0,30,40,Y,Unknown,Frogs,-5,None,1:46 PM,7/30/24,,
Baxter Park,1,4,,Y,10,D-Flies,-1,None,10:44 AM,6/7/23,"(frequent) cattails, RCG",
Baxter Park,2,5,,Y,2,Butterflies,-5,Water has receded significantly,3:43 PM,6/26/23,,
Baxter Park,0,20,,Y,None Observed,None Observed,-2,None,2:45 PM,7/29/23,,
Baxter Park,2,20,,Y (Duckweed),None Observed,None Observed,-4,None,2:54 PM,8/4/23,,
Baxter Park,0,30,,Y,Unknown,"Frogs, mosquito swarm",-2,None,2:51 PM,8/10/23,,
Baxter Park,0,20,,Y (Cattail),Unknown,Mosquitos,-2,None,2:04 PM,8/15/23,,
Baxter Park,1,10,,Y,Unknown,"Frogs, mosquitoes",-2,None,3:26 PM,8/22/23,,
Baxter Park,0,10,,Y (Duckweed),None Observed,None Observed,-2,None,2:41 PM,9/20/23,,
Baxter Park,0,5,,Y (Cattail),Unknown,Dead fish,-1,None,2:45 PM,9/27/23,,
Baxter Park,0,10,,"Y (Duckweed, Cattail)",None Observed,None Observed,-3,None,3:49 PM,10/5/23,,
Baxter Park,,,,,1,Snapping turtle ,,,,5/10/24,,
Baxter Park,0,0,,Y (Cattail),None Observed,None Observed,-4,None,2:44 PM,7/16/24,,
Baxter Park,0,10,5,Y (Cattail),Unknown,"Frogs, mosquitos",-1,None,1:58 PM,7/24/24,,
Baxter Park,0,10,10,Y (Cattail),Unknown,"Fish, frogs, mosquitos",-3,None,2:28 PM,7/30/24,,
Dobson A22,0,80,,Y,"unknown, 2","Spiders, D-Flies",0,Muskrat tracks,11:40 AM,6/7/23,"(frequent) bullrush, willow, RCG",
Dobson A22,0,70,,Y,1,Snail,-2,Rock w/lots of droppings (see image),4:29 PM,6/26/23,,
Dobson A22,2,30,,N,None Observed,None Observed,0,None,3:22 PM,7/29/23,,
Dobson A22,0,30,,Y,None Observed,None Observed,-3,None,3:33 PM,8/4/23,,
Dobson A22,0,30,,Y,Unknown,"Snails, dragonflies",-1,None,3:24 PM,8/10/23,,
Dobson A22,0,3,,Y,None Observed,None Observed,-2,None,2:30 PM,8/15/23,,
Dobson A22,0,10,,Y,Unknown,Bugs,-3,None,4:04 PM,8/22/23,,
Dobson A22,0,15,,N,None Observed,None Observed,-1,None,3:17 PM,9/20/23,,
Dobson A22,0,5,,Y,None Observed,None Observed,0,None,3:30 PM,9/27/23,,
Dobson A22,0,40,,Y,Unknown,Snails,-2,None,4:25 PM,10/5/23,,
