Pond Name,Total Richness,Plant Richness,Animal Richness,Invert Richness,Vert Richness,Fish Richness,Herp Richness,Amphib Richness
Hospital,29,13,16,10,6,4,2,1
Lot60,50,20,30,24,6,0,6,5
Garner,24,5,19,15,4,2,2,2
DobA7,23,8,15,11,4,2,2,2
Owen,29,14,15,6,9,2,7,5
HPChurch,38,16,22,14,8,3,5,3
DobA8,23,8,15,11,4,2,2,2
Midtown,29,12,17,11,6,3,3,3
Elver,31,12,19,14,5,3,2,1
TwoFountains,27,9,18,11,7,3,4,2
Greentree,34,10,24,14,10,5,5,3
MarionDunn,27,7,20,14,6,0,6,4
Manitou,29,14,15,5,10,5,5,3
MadCity,26,11,15,11,4,0,4,2
Baxter,38,12,26,21,5,0,5,3
DobA22,22,8,14,10,4,1,3,3
DobA5,19,5,14,11,3,0,3,3
DobA4,32,14,18,12,6,3,3,2
DoorCreek,45,14,31,21,10,5,5,3
CommAve,27,11,16,12,4,1,3,2